NIFTY 20,NIFTY 50,NIFTY NEXT 50,NIFTY 200,NIFTY MIDCAP 50,NIFTY MIDCAP 100,NIFTY MIDSMALLCAP 400,NIFTY TOTAL MARKET,NIFTY 200 cv,NSC ALL,BSE ALL
BAJAJ-AUTO,INDUSINDBK,IOC,ASIANPAINT,LTTS,ADANIPOWER,BORORENEW,AARTIPHARM,TATAELXSI,63MOONS,BAGFILMS
BPCL,HEROMOTOCO,CANBK,ADANIPOWER,IDEA,DALBHARAT,SAPPHIRE,CDSL,PERSISTENT,AARON,BCG
BRITANNIA,HDFCBANK,PGHH,PRESTIGE,CONCOR,NAVINFLUOR,INFIBEAM,ARVIND,LTIM,AAREYDRUGS,GANONPRO
COALINDIA,M&M,TORNTPHARM,TORNTPHARM,ESCORTS,DIXON,SUZLON,JINDALSAW,JINDALSAW,LSIL,ADCINDIA
GRASIM,COALINDIA,HAVELLS,PIIND,BALKRISIND,PRESTIGE,CRAFTSMAN,TEGA,PAGEIND,LLOYDSME,ANMOL
HCLTECH,BAJAJFINSV,BEL,SUNPHARMA,OFSS,CROMPTON,NLCINDIA,SWANENERGY,DRREDDY,AARTIDRUGS,BEDMUTHA
HEROMOTOCO,GRASIM,BERGEPAINT,IPCALAB,TRENT,GLAND,DIXON,TIPSINDLTD,BOSCHLTD,360ONE,ARIHCAPM
HINDALCO,TATASTEEL,MCDOWELL-N,ESCORTS,BIOCON,APOLLOTYRE,NSLNISP,ICIL,HONAUT,JINDALSAW,ANSALHSG
HINDUNILVR,ADANIPORTS,GODREJCP,HAVELLS,PERSISTENT,COROMANDEL,WELSPUNIND,CONFIPET,ULTRACEMCO,5PAISA,AUSTENG
INFY,ITC,BOSCHLTD,BRITANNIA,BHARATFORG,CGPOWER,BRIGADE,CRAFTSMAN,BAJAJHLDNG,A2ZINFRA,BAJAJ-AUTO
ITC,ULTRACEMCO,AWL,BHARTIARTL,COFORGE,MSUMI,CDSL,SUZLON,SHREECEM,20MICRONS,HIL
JSWSTEEL,HDFC,HDFCAMC,COFORGE,MFSL,IGL,WELCORP,DBL,PGHH,3MINDIA,ASRL
NTPC,SBILIFE,VBL,TECHM,TATACOMM,SYNGENE,GRINFRA,SPANDANA,ABBOTINDIA,21STCENMGM,AQFINTECH
ONGC,EICHERMOT,ACC,ASTRAL,TVSMOTOR,WHIRLPOOL,KPITTECH,MARKSANS,BRITANNIA,AARTIPHARM,CHOTHANI
POWERGRID,DRREDDY,PAGEIND,APOLLOTYRE,RECLTD,TATACHEM,NCC,GRINFRA,APOLLOHOSP,AARTIIND,BENARAS
TATASTEEL,TITAN,PIIND,DIXON,HINDPETRO,IPCALAB,SWANENERGY,NRBBEARING,MRF,CGPOWER,ALCHCORP
TCS,NTPC,MUTHOOTFIN,TATACOMM,MRF,TATAELXSI,LODHA,ASTRAZEN,BAJFINANCE,AAATECH,BBL
TECHM,SBIN,IRCTC,BALKRISIND,AUROPHARMA,IRFC,FSL,NSLNISP,MARUTI,3PLAND,CANFINHOME
UPL,HINDALCO,MARICO,HINDPETRO,ASTRAL,POONAWALLA,BCG,FAIRCHEMOR,NESTLEIND,3IINFOLTD,VEDAVAAG
WIPRO,APOLLOHOSP,PIDILITIND,BIOCON,GUJGASLTD,POLICYBZR,PNBHOUSING,TORNTPHARM,INDIAMART,AAKASH,BBTCL
,AXISBANK,BAJAJHLDNG,BPCL,PNB,INDIANB,RAINBOW,DIXON,LTTS,AAVAS,BI
,BRITANNIA,TATAPOWER,MCDOWELL-N,ZYDUSLIFE,PATANJALI,TRITURBINE,NAVNETEDUL,POLYCAB,ACCELYA,ORIENTALTL
,DIVISLAB,VEDL,RECLTD,ABBOTINDIA,NHPC,ESCORTS,BORORENEW,HAL,ACI,CITL
,HCLTECH,HAL,GLAND,GODREJPROP,ABCAPITAL,CAMS,BRIGADE,ASIANPAINT,ACE,CIANAGRO
,HDFCLIFE,MOTHERSON,BHARATFORG,VOLTAS,HINDZINC,LATENTVIEW,WELSPUNIND,ABB,ABBOTINDIA,BODHTREE
,ICICIBANK,SBICARD,MSUMI,SAIL,MAXHEALTH,KANSAINER,PIIND,EICHERMOT,ABSLNN50ET,RALLIS
,INFY,AMBUJACEM,POONAWALLA,INDHOTEL,TTML,MAHLIFE,ARVINDFASN,OFSS,ABSLAMC,BURNPUR
,JSWSTEEL,GAIL,SBILIFE,M&MFIN,LAURUSLABS,SUNDRMFAST,BCG,SIEMENS,ABCAPITAL,BONLON
,LT,ICICIGI,TATAMOTORS,BATAINDIA,OIL,TANLA,FORCEMOT,NAUKRI,ABAN,BHEL
,MARUTI,ADANIGREEN,LTTS,SHRIRAMFIN,PAYTM,BSE,BOMDYEING,DIXON,ACCURACY,CHOKSI
,NESTLEIND,LTIM,SYNGENE,ZEEL,DEEPAKNTR,SCHAEFFLER,KOLTEPATIL,NAVINFLUOR,AARTISURF,BEML
,ONGC,ATGL,VBL,IDFCFIRSTB,SUNTV,TEJASNET,INFIBEAM,DIVISLAB,ADANIENT,FLUIDOM
,RELIANCE,ABB,AUROPHARMA,BANDHANBNK,TRIDENT,BDL,GOKEX,LINDEINDIA,AARVI,BFLAFL
,SUNPHARMA,DLF,MFSL,MPHASIS,YESBANK,CHEMPLASTS,PNBHOUSING,TCS,ABFRL,BRADYM
,TATACONSUM,SRF,PERSISTENT,JINDALSTEL,L&TFH,ANGELONE,WELCORP,DMART,ABB,BILLWIN
