Ticker,Description,Sector,Exchange
AILIMITED,ABHISHEK INTEGRATI,Transportation,NSE
SIRCA,SIRCA PAINT INDIA LTD,Process Industries,NSE
GATEWAY,GATEWAY DISTRIPARKS LTD,Non-Energy Minerals,NSE
ACC,ACC LTD,Non-Energy Minerals,NSE
SOMICONVEY,SOMI CONVEYOR BELT,Producer Manufacturing,NSE
SWELECTES,SWELECT ENERGY SYS,Producer Manufacturing,NSE
VRLLOG,VRL LOGISTICS LTD,Transportation,NSE
CAPTRUST,CAPITAL TRUST LTD.,Finance,NSE
LEXUS,LEXUS GRANITO (INDIA) LTD,Producer Manufacturing,NSE
INDIASHLTR,INDIA SHELTER FIN CORP L,Finance,NSE
STEL,STEL HOLDINGS LTD,Finance,NSE
EBBETF0433,EDELAMC - EBBETF0433,Miscellaneous,NSE
ECLERX,ECLERX SERVICES,Commercial Services,NSE
GOLDIAM,GOLDIAM INTERNATL,Consumer Durables,NSE
TRANSWIND,TRANSWIND INFRASTR,Industrial Services,NSE
TATVA,TATVA CHIN PHARM CHEM LTD,Process Industries,NSE
CREDITACC,CREDITACCESS GRAME,Finance,NSE
UNIENTER,UNIPHOS ENTERPRISE,Producer Manufacturing,NSE
BEARDSELL,BEARDSELL LTD,Process Industries,NSE
SHARDAMOTR,SHARDA MOTOR INDUS,Producer Manufacturing,NSE
IPCALAB,IPCA LABORATORIES,Health Technology,NSE
DUGLOBAL,DUDIGITAL GLOBAL LTD,Commercial Services,NSE
ADANIPOWER,ADANI POWER LTD,Utilities,NSE
SETUINFRA,SETUBANDHAN INFRA LTD,Industrial Services,NSE
SELAN,SELAN EXPLORATION,Energy Minerals,NSE
DRONE,DRONE DESTINATION,Electronic Technology,NSE
VIPIND,VIP INDUSTRIES,Consumer Durables,NSE
PRAMARA,PRAMARA PROMOTIONS,Consumer Durables,NSE
HLVLTD,HLV LTD,Consumer Services,NSE
JINDALPOLY,JINDAL POLY FILMS,Process Industries,NSE
HINDPETRO,HINDUSTAN PETROL,Energy Minerals,NSE
ALOKINDS,ALOK INDUSTRIES LTD,Process Industries,NSE
BODALCHEM,BODAL CHEMICALS,Process Industries,NSE
ARSSINFRA,ARSS INFRASTRUCTUR,Industrial Services,NSE
PDMJEPAPER,PUDUMJEE PAPER PRO,Process Industries,NSE
AARTISURF,AARTI SURFACTANTS LTD,Process Industries,NSE
TECHLABS,TRIDENT TECHLABS L,Distribution Services,NSE
RAIN,RAIN INDUSTRIES LTD,Process Industries,NSE
ONWARDTEC,ONWARD TECHNO,Technology Services,NSE
SMARTLINK,SMARTLINK HOLDINGS,Electronic Technology,NSE
TREEHOUSE,TREE HOUSE EDUCATI,Consumer Services,NSE
JSLL.ST,JEENA SIKHO LIFECA,Health Services,NSE
PEL.N0,SEC RE NCD 9.00% SR I,,NSE
GLOBAL,GLOBAL EDUCATION LTD,Commercial Services,NSE
AXISBANK,AXIS BANK,Finance,NSE
GLOBE,GLOBE TEXTILES (I) LTD.,Process Industries,NSE
PENIND,PENNAR INDUSTRIES,Non-Energy Minerals,NSE
ESCORTS,ESCORTS KUBOTA LTD,Producer Manufacturing,NSE
